
 pk_id | ck_id | f1
-------+-------+---------
   500 |  c500 | val-500
   500 |  c501 | val-501
   500 |  c502 | val-502
   500 |  c503 | val-503
   500 |  c504 | val-504
   500 |  c505 | val-505
   500 |  c506 | val-506
   500 |  c507 | val-507
   500 |  c508 | val-508
   500 |  c509 | val-509
   500 |  c510 | val-510
   500 |  c511 | val-511
   500 |  c512 | val-512
   500 |  c513 | val-513
   500 |  c514 | val-514
   500 |  c515 | val-515
   500 |  c516 | val-516
   500 |  c517 | val-517
   500 |  c518 | val-518
   500 |  c519 | val-519
   500 |  c520 | val-520
   500 |  c521 | val-521
   500 |  c522 | val-522
   500 |  c523 | val-523
   500 |  c524 | val-524
   500 |  c525 | val-525
   500 |  c526 | val-526
   500 |  c527 | val-527
   500 |  c528 | val-528
   500 |  c529 | val-529
   500 |  c530 | val-530
   500 |  c531 | val-531
   500 |  c532 | val-532
   500 |  c533 | val-533
   500 |  c534 | val-534
   500 |  c535 | val-535
   500 |  c536 | val-536
   500 |  c537 | val-537
   500 |  c538 | val-538
   500 |  c539 | val-539
   500 |  c540 | val-540
   500 |  c541 | val-541
   500 |  c542 | val-542
   500 |  c543 | val-543
   500 |  c544 | val-544
   500 |  c545 | val-545
   500 |  c546 | val-546
   500 |  c547 | val-547
   500 |  c548 | val-548
   500 |  c549 | val-549
   500 |  c550 | val-550
   500 |  c551 | val-551
   500 |  c552 | val-552
   500 |  c553 | val-553
   500 |  c554 | val-554
   500 |  c555 | val-555
   500 |  c556 | val-556
   500 |  c557 | val-557
   500 |  c558 | val-558
   500 |  c559 | val-559
   500 |  c560 | val-560
   500 |  c561 | val-561
   500 |  c562 | val-562
   500 |  c563 | val-563
   500 |  c564 | val-564
   500 |  c565 | val-565
   500 |  c566 | val-566
   500 |  c567 | val-567
   500 |  c568 | val-568
   500 |  c569 | val-569
   500 |  c570 | val-570
   500 |  c571 | val-571
   500 |  c572 | val-572
   500 |  c573 | val-573
   500 |  c574 | val-574
   500 |  c575 | val-575
   500 |  c576 | val-576
   500 |  c577 | val-577
   500 |  c578 | val-578
   500 |  c579 | val-579
   500 |  c580 | val-580
   500 |  c581 | val-581
   500 |  c582 | val-582
   500 |  c583 | val-583
   500 |  c584 | val-584
   500 |  c585 | val-585
   500 |  c586 | val-586
   500 |  c587 | val-587
   500 |  c588 | val-588
   500 |  c589 | val-589
   500 |  c590 | val-590
   500 |  c591 | val-591
   500 |  c592 | val-592
   500 |  c593 | val-593
   500 |  c594 | val-594
   500 |  c595 | val-595
   500 |  c596 | val-596
   500 |  c597 | val-597
   500 |  c598 | val-598
   500 |  c599 | val-599
   400 |  c400 | val-400
   400 |  c401 | val-401
   400 |  c402 | val-402
   400 |  c403 | val-403
   400 |  c404 | val-404
   400 |  c405 | val-405
   400 |  c406 | val-406
   400 |  c407 | val-407
   400 |  c408 | val-408
   400 |  c409 | val-409
   400 |  c410 | val-410
   400 |  c411 | val-411
   400 |  c412 | val-412
   400 |  c413 | val-413
   400 |  c414 | val-414
   400 |  c415 | val-415
   400 |  c416 | val-416
   400 |  c417 | val-417
   400 |  c418 | val-418
   400 |  c419 | val-419
   400 |  c420 | val-420
   400 |  c421 | val-421
   400 |  c422 | val-422
   400 |  c423 | val-423
   400 |  c424 | val-424
   400 |  c425 | val-425
   400 |  c426 | val-426
   400 |  c427 | val-427
   400 |  c428 | val-428
   400 |  c429 | val-429
   400 |  c430 | val-430
   400 |  c431 | val-431
   400 |  c432 | val-432
   400 |  c433 | val-433
   400 |  c434 | val-434
   400 |  c435 | val-435
   400 |  c436 | val-436
   400 |  c437 | val-437
   400 |  c438 | val-438
   400 |  c439 | val-439
   400 |  c440 | val-440
   400 |  c441 | val-441
   400 |  c442 | val-442
   400 |  c443 | val-443
   400 |  c444 | val-444
   400 |  c445 | val-445
   400 |  c446 | val-446
   400 |  c447 | val-447
   400 |  c448 | val-448
   400 |  c449 | val-449
   400 |  c450 | val-450
   400 |  c451 | val-451
   400 |  c452 | val-452
   400 |  c453 | val-453
   400 |  c454 | val-454
   400 |  c455 | val-455
   400 |  c456 | val-456
   400 |  c457 | val-457
   400 |  c458 | val-458
   400 |  c459 | val-459
   400 |  c460 | val-460
   400 |  c461 | val-461
   400 |  c462 | val-462
   400 |  c463 | val-463
   400 |  c464 | val-464
   400 |  c465 | val-465
   400 |  c466 | val-466
   400 |  c467 | val-467
   400 |  c468 | val-468
   400 |  c469 | val-469
   400 |  c470 | val-470
   400 |  c471 | val-471
   400 |  c472 | val-472
   400 |  c473 | val-473
   400 |  c474 | val-474
